persone.controllate, persone.sanzionate, persone.denunciateFalseDichiarazione, persone.denunciateQuarantena, attivita.controllate, attivita.sanzionate, attivita.chiusuraProvvisoria, attivita.chiusuraTotale, meta.date
107879, 0, 35, 2165, 19985, 119, 0, 0, 11/03/2020
142944, 0, 68, 4658, 66207, 382, 0, 0, 12/03/2020
160772, 0, 278, 6977, 84066, 242, 0, 0, 13/03/2020
138994, 0, 112, 6203, 83579, 239, 5, 0, 14/03/2020
114891, 0, 169, 6951, 64114, 120, 12, 0, 15/03/2020
172720, 0, 229, 7890, 97551, 217, 22, 0, 16/03/2020
187455, 0, 204, 8089, 111512, 154, 33, 0, 17/03/2020
200514, 0, 200, 8297, 116712, 195, 29, 0, 18/03/2020
200842, 0, 214, 9193, 99806, 205, 21, 0, 19/03/2020
223633, 0, 260, 9888, 91129, 104, 19, 0, 20/03/2020
208053, 0, 343, 11068, 75362, 142, 20, 0, 21/03/2020
157621, 0, 212, 10326, 53776, 158, 27, 0, 22/03/2020
228550, 0, 193, 9949, 87558, 103, 25, 0, 23/03/2020
228057, 0, 128, 8310, 89845, 126, 13, 0, 24/03/2020
202188, 0, 92, 5774, 92445, 101, 23, 0, 25/03/2020
183578, 1515, 69, 129, 95073, 148, 21, 27, 26/03/2020
210365, 2783, 86, 50, 98653, 72, 19, 28, 27/03/2020
203011, 4942, 142, 49, 84941, 151, 10, 29, 28/03/2020
156962, 6623, 58, 29, 58481, 83, 9, 30, 29/03/2020
222450, 6348, 94, 15, 88611, 145, 15, 31, 30/03/2020
230951, 6608, 93, 39, 94006, 103, 12, 1, 31/03/2020
246365, 7080, 113, 19, 95881, 145, 28, 2, 01/04/2020
246829, 7659, 85, 24, 97698, 258, 25, 3, 02/04/2020
254959, 8187, 83, 30, 93064, 136, 22, 4, 03/04/2020
229104, 9284, 54, 10, 87364, 173, 14, 5, 04/04/2020
186741, 11022, 47, 25, 66538, 115, 16, 6, 05/04/2020
271675, 10375, 60, 14, 94129, 106, 17, 7, 06/04/2020
279864, 9999, 46, 29, 99622, 171, 27, 8, 07/04/2020
286912, 10193, 62, 14, 99223, 162, 17, 9, 08/04/2020
295554, 10105, 57, 32, 100488, 132, 36, 10, 09/04/2020
301708, 10442, 82, 12, 93765, 218, 28, 11, 10/04/2020
280717, 12514, 104, 53, 89931, 179, 26, 12, 11/04/2020
213565, 13756, 100, 19, 60435, 121, 31, 13, 12/04/2020
252148, 16545, 88, 29, 62391, 146, 39, 14, 13/04/2020
265131, 9554, 53, 8, 97598, 110, 29, 15, 14/04/2020
288776, 8523, 44, 15, 101636, 121, 32, 16, 15/04/2020
288317, 8353, 59, 14, 102010, 152, 31, 17, 16/04/2020
289580, 8129, 47, 28, 101359, 202, 21, 18, 17/04/2020
257227, 8742, 57, 26, 92264, 151, 23, 19, 18/04/2020
197750, 8641, 74, 9, 68252, 104, 20, 20, 19/04/2020
212709, 5960, 65, 19, 103490, 111, 20, 21, 20/04/2020
257802, 5868, 43, 13, 108348, 147, 24, 22, 21/04/2020
245580, 5706, 32, 13, 107020, 168, 47, 23, 22/04/2020
283500, 6216, 42, 14, 107350, 144, 14, 24, 23/04/2020
287579, 6679, 95, 12, 98590, 149, 16, 25, 24/04/2020
242145, 9240, 71, 39, 74955, 295, 47, 12, 25/04/2020
241968, 7939, 41, 5, 73624, 106, 16, 5, 26/04/2020
274396, 5604, 35, 7, 101872, 149, 17, 6, 27/04/2020
256354, 4691, 48, 5, 105790, 134, 23, 5, 28/04/2020
271617, 4472, 25, 8, 108456, 137, 25, 21, 29/04/2020
264776, 4398, 36, 5, 102673, 106, 19, 14, 30/04/2020
241786, 7062, 73, 5, 81089, 195, 35, 10, 01/05/2020
243224, 5402, 49, 18, 89773, 119, 28, 8, 02/05/2020
221409, 5325, 31, 2, 77925, 89, 18, 9, 03/05/2020
258170, 3691, 98, 11, 100816, 96, 14, 9, 04/05/2020
257574, 3219, 32, 3, 100282, 149, 37, 19, 05/05/2020
179738, 1937, 16, 2, 70258, 79, 15, 7, 06/05/2020
175468, 1894, 27, 4, 67014, 130, 34, 9, 07/05/2020
172538, 1979, 14, 3, 63042, 113, 14, 5, 08/05/2020
162299, 2081, 21, 10, 53643, 178, 13, 7, 09/05/2020
147958, 2154, 23, 0, 41932, 72, 11, 9, 10/05/2020
161603, 1783, 35, 4, 65759, 102, 15, 10, 11/05/2020
166195, 1549, 3, 16, 66932, 85, 9, 7, 12/05/2020
159158, 1450, 5, 14, 64281, 96, 11, 3, 13/05/2020
150766, 1311, 5, 22, 64314, 94, 12, 7, 14/05/2020
152857, 1242, 13, 3, 61029, 89, 5, 8, 15/05/2020
137932, 1396, 7, 8, 53698, 39, 10, 35, 16/05/2020
127976, 1136, 6, 13, 37078, 27, 5, 0, 17/05/2020
127601, 608, 18, 5, 51590, 39, 9, 6, 18/05/2020
127392, 409, 4, 3, 54223, 41, 9, 1, 19/05/2020
125582, 460, 3, 3, 56207, 25, 2, 1, 20/05/2020
130330, 545, 6, 4, 55744, 20, 3, 2, 21/05/2020
131962, 651, 5, 2, 49585, 40, 8, 0, 22/05/2020
118068, 499, 2, 0, 44725, 51, 11, 8, 23/05/2020
120420, 762, 6, 2, 30221, 32, 3, 1, 24/05/2020
120210, 406, 14, 2, 36936, 57, 10, 1, 25/05/2020
113461, 357, 4, 4, 34590, 24, 2, 2, 26/05/2020
114856, 355, 9, 1, 35233, 41, 1, 2, 27/05/2020
113403, 299, 1, 1, 32799, 33, 3, 6, 28/05/2020
102482, 362, 7, 12, 30968, 50, 7, 3, 29/05/2020
99975, 522, 8, 2, 27291, 32, 6, 4, 30/05/2020
98735, 480, 12, 3, 24854, 33, 8, 4, 31/05/2020
99650, 375, 0, 2, 24931, 20, 5, 2, 01/06/2020
101765, 331, 0, 0, 21272, 19, 6, 1, 02/06/2020
82710, 122, 4, 0, 24394, 17, 8, 3, 03/06/2020
